no,filename,key,product,category,kind,in_stock,stock,price_thb,subject
1,onionring.jpg,onionring,onion ring,Food,food,YES,4999,150.00,"onion ring plated on dark ceramic seen from a high angle, fresh and steaming, styled like a bar-kitchen menu photograph"
2,stashproyukilighters.jpg,stashproyukilighters,Stash-Pro Yuki lighters,Equipment,gear,YES,193,120.00,"Stash-Pro Yuki lighters, a piece of smoking equipment, standing upright with its material and finish clearly readable"
3,rawblackkingsize.jpg,rawblackkingsize,RAW Black Kingsize,Equipment,gear,YES,107,100.00,"RAW Black Kingsize, a piece of smoking equipment, standing upright with its material and finish clearly readable"
4,dankziplockbag.jpg,dankziplockbag,Dank Zip Lock Bag,Equipment,gear,YES,96,10.00,"Dank Zip Lock Bag, a piece of smoking equipment, standing upright with its material and finish clearly readable"
5,doinkscone.jpg,doinkscone,Doinks cone,Accessories,preroll,YES,95,100.00,"a single cannabis pre-roll joint at a slight diagonal, unlit, clean white paper with a neat tip, a small mound of freshly ground green flower beside it"
6,dankgrinderplastic24pcs1pack.jpg,dankgrinderplastic24pcs1pack,Dank Grinder plastic 24pcs / 1 pack,Accessories,gear,YES,85,150.00,"Dank Grinder plastic 24pcs / 1 pack, a piece of smoking equipment, standing upright with its material and finish clearly readable"
7,icecreametesizexl.jpg,icecreametesizexl,Ice Cream Ete size XL,Snack,food,YES,73,80.00,"Ice Cream Ete size XL plated on dark ceramic seen from a high angle, fresh and steaming, styled like a bar-kitchen menu photograph"
8,slimjim5flavor3in1.jpg,slimjim5flavor3in1,Slim Jim 5 Flavor 3 in 1,Accessories,gear,YES,71,250.00,"Slim Jim 5 Flavor 3 in 1, a piece of smoking equipment, standing upright with its material and finish clearly readable"
9,slimjimpaperandtips.jpg,slimjimpaperandtips,Slimjim Paper and Tips,,gear,YES,69,300.00,"Slimjim Paper and Tips, a piece of smoking equipment, standing upright with its material and finish clearly readable"
10,stashprolighter.jpg,stashprolighter,Stash pro Lighter,Equipment,gear,YES,69,100.00,"Stash pro Lighter, a piece of smoking equipment, standing upright with its material and finish clearly readable"
11,kamagra.jpg,kamagra,Kamagra,Edible,edible,YES,67,150.00,"Kamagra, a cannabis edible, on a small dark slate plate with a few pieces arranged so the texture reads clearly"
12,teatime.jpg,teatime,Tea Time,Exotics,flower,YES,59.39,800.00,"one premium cannabis bud standing upright, dense and compact, thickly frosted with sugary trichomes, bright orange pistils curling through the bright lime-green leaves. Strain: Tea Time (Hybrid, THC 28-30%), tasting of candy, citrus, pine"
13,dankcapgreen.jpg,dankcapgreen,Dank cap green,Accessories,gear,YES,59,420.00,"Dank cap green, a piece of smoking equipment, standing upright with its material and finish clearly readable"
14,permanentbx1.jpg,permanentbx1,Permanent Bx1,Exotics,flower,YES,56.01,800.00,"one premium cannabis bud standing upright, dense and compact, thickly frosted with sugary trichomes, bright orange pistils curling through the green leaves. Strain: Permanent Bx1 (Indica-dominant Hybrid, THC 26-29%), tasting of gas, candy, floral"
15,icecreametesizel.jpg,icecreametesizel,Ice Cream Ete Size L,Snack,food,YES,51,60.00,"Ice Cream Ete Size L plated on dark ceramic seen from a high angle, fresh and steaming, styled like a bar-kitchen menu photograph"
16,cappuccino.jpg,cappuccino,Cappuccino,Drink,drink,YES,50,120.00,"Cappuccino served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
17,grape.jpg,grape,Grape,Drink,drink,YES,50,150.00,"Grape served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
18,greentea.jpg,greentea,Green Tea,Drink,drink,YES,50,100.00,"Green Tea served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
19,honeylemon.jpg,honeylemon,Honey - Lemon,Drink,drink,YES,50,150.00,"Honey - Lemon served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
20,icelemontea.jpg,icelemontea,Ice Lemon Tea,Drink,drink,YES,50,50.00,"Ice Lemon Tea served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
21,latte.jpg,latte,Latte,Drink,drink,YES,50,120.00,"Latte served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
22,lychee.jpg,lychee,Lychee,Drink,drink,YES,50,150.00,"Lychee served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
23,mocha.jpg,mocha,Mocha,Drink,drink,YES,50,120.00,"Mocha served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
24,orange.jpg,orange,Orange,Drink,drink,YES,50,100.00,"Orange served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
25,peach.jpg,peach,Peach,Drink,drink,YES,50,100.00,"Peach served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
26,strawberry.jpg,strawberry,Straw Berry,Drink,drink,YES,50,150.00,"Straw Berry served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
27,thaitea.jpg,thaitea,Thai Tea,Drink,drink,YES,50,100.00,"Thai Tea served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
28,chocolate.jpg,chocolate,Chocolate,Drink,drink,YES,49,150.00,"Chocolate served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
29,cookiesncream.jpg,cookiesncream,Cookies N Cream,Drink,drink,YES,49,150.00,"Cookies N Cream served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
30,gummies100mg.jpg,gummies100mg,Gummies 100mg ( 3flavor ),Edible,edible,YES,49,400.00,"Gummies 100mg ( 3flavor ), a cannabis edible, on a small dark slate plate with a few pieces arranged so the texture reads clearly"
31,reesespeanutbutter.jpg,reesespeanutbutter,Reese's Peanut Butter,Drink,drink,YES,49,150.00,"Reese's Peanut Butter served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
32,espresso.jpg,espresso,Espresso,Drink,drink,YES,48,80.00,"Espresso served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
33,mango.jpg,mango,Mango,Drink,drink,YES,48,150.00,"Mango served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
34,rawwidetips.jpg,rawwidetips,RAW Wide Tips,Equipment,gear,YES,48,80.00,"RAW Wide Tips, a piece of smoking equipment, standing upright with its material and finish clearly readable"
35,blueberry.jpg,blueberry,Blueberry,Drink,drink,YES,47,100.00,"Blueberry served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
36,wildcherry.jpg,wildcherry,Wild Cherry,Exotics,flower,YES,45.32,800.00,"one premium cannabis bud standing upright, dense and compact, thickly frosted with sugary trichomes, bright orange pistils curling through the deep purple-green leaves. Strain: Wild Cherry (Sativa-dominant Hybrid, THC 23-29%), tasting of cherry, berry, sweet"
37,backwoodpack.jpg,backwoodpack,Backwood pack,Blunt,blunt,YES,41.4,750.00,"a single cannabis blunt, unlit, in a dark tobacco leaf wrap with a visible seam, two whole buds behind it slightly out of focus"
38,americano.jpg,americano,Americano,Drink,drink,YES,38,60.00,"Americano served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
39,lemoncherrybx2.jpg,lemoncherrybx2,lemon cherry bx2,Pre-Roll,preroll,YES,37.69,400.00,"a single cannabis pre-roll joint at a slight diagonal, unlit, clean white paper with a neat tip, a small mound of freshly ground green with a red-purple blush flower beside it. Strain: lemon cherry bx2 (Indica-dominant Hybrid, THC 24-28%), tasting of citrus, cherry, cream"
40,brownie50mg.jpg,brownie50mg,Brownie 50 Mg,Edible,edible,YES,36,350.00,"Brownie 50 Mg, a cannabis edible, on a small dark slate plate with a few pieces arranged so the texture reads clearly"
41,prerolldank.jpg,prerolldank,Pre-Roll DANK,Equipment,preroll,YES,34,10.00,"a single cannabis pre-roll joint at a slight diagonal, unlit, clean white paper with a neat tip, a small mound of freshly ground green flower beside it"
42,malibumarker.jpg,malibumarker,Malibu Marker,Weed,flower,YES,33,800.00,"one premium cannabis bud standing upright, dense and compact, thickly frosted with sugary trichomes, bright orange pistils curling through the green leaves"
43,prerolldank800pcs.jpg,prerolldank800pcs,Pre roll Dank 800pcs ( 1box ),Accessories,preroll,YES,29,4000.00,"a single cannabis pre-roll joint at a slight diagonal, unlit, clean white paper with a neat tip, a small mound of freshly ground green flower beside it"
44,elementsultrathinpaperskingsize.jpg,elementsultrathinpaperskingsize,Elements Ultra Thin Papers Kingsize,Accessories,gear,YES,27,100.00,"Elements Ultra Thin Papers Kingsize, a piece of smoking equipment, standing upright with its material and finish clearly readable"
45,longanjuice.jpg,longanjuice,Longan juice/ น้ำลำใย,Drink,drink,YES,27,50.00,"Longan juice/ น้ำลำใย served in the glass it belongs in, condensation on the glass, garnish if it has one, fresh and cold"
46,muhamed2000mg.jpg,muhamed2000mg,Muhamed 2000 mg,Vape,vape,YES,27,2500.00,"one sleek cannabis vape cartridge standing upright, amber oil visible through a small glass window, a soft reflection beneath it"
