no,filename,product,category,kind,in_stock,group,prompt
1,onionring.jpg,onion ring,Food,food,YES,A-missing,"onion ring plated on dark ceramic seen from a high angle, fresh and steaming, styled like a bar-kitchen menu photograph. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
2,stashproyukilighters.jpg,Stash-Pro Yuki lighters,Equipment,gear,YES,A-missing,"Stash-Pro Yuki lighters, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
3,rawblackkingsize.jpg,RAW Black Kingsize,Equipment,gear,YES,A-missing,"RAW Black Kingsize, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
4,dankziplockbag.jpg,Dank Zip Lock Bag,Equipment,gear,YES,A-missing,"Dank Zip Lock Bag, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
5,doinkscone.jpg,Doinks cone,Accessories,preroll,YES,A-missing,"a single cannabis pre-roll joint at a slight diagonal, unlit, clean white paper with a neat tip, a small mound of freshly ground green flower beside it. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
6,dankgrinderplastic24pcs1pack.jpg,Dank Grinder plastic 24pcs / 1 pack,Accessories,gear,YES,A-missing,"Dank Grinder plastic 24pcs / 1 pack, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
7,icecreametesizexl.jpg,Ice Cream Ete size XL,Snack,food,YES,A-missing,"Ice Cream Ete size XL plated on dark ceramic seen from a high angle, fresh and steaming, styled like a bar-kitchen menu photograph. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
8,slimjim5flavor3in1.jpg,Slim Jim 5 Flavor 3 in 1,Accessories,gear,YES,A-missing,"Slim Jim 5 Flavor 3 in 1, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
9,slimjimpaperandtips.jpg,Slimjim Paper and Tips,,gear,YES,A-missing,"Slimjim Paper and Tips, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
10,stashprolighter.jpg,Stash pro Lighter,Equipment,gear,YES,A-missing,"Stash pro Lighter, a piece of smoking equipment, standing upright with its material and finish clearly readable. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
